Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
0,249,Finance & Banking,Bachelors,"$55,300","$97,100",47%
1,249,Mechanical Design,Bachelors,"$60,900","$97,100",45%
2,253,Applied Technology,Bachelors,"$55,500","$97,000",62%
3,254,Marketing & Management,Bachelors,"$50,000","$96,900",45%
4,255,Technical & Scientific Communication,Bachelors,"$50,700","$96,800",37%
5,256,Financial Planning,Bachelors,"$54,000","$96,600",63%
6,256,Organizational Behavior,Bachelors,"$57,000","$96,600",51%
7,256,Marketing,Bachelors,"$51,700","$96,600",40%
8,259,Dairy Science,Bachelors,"$51,200","$96,200",68%
9,259,Project Management,Bachelors,"$56,800","$96,200",58%
10,261,Government & International Politics (GVIP),Bachelors,"$51,300","$96,100",49%
11,261,Latin American Studies,Bachelors,"$46,700","$96,100",62%
12,263,Industrial Design (ID),Bachelors,"$55,100","$95,900",41%
13,263,Web Design & Development,Bachelors,"$53,100","$95,900",44%
14,265,Computing & Information Systems (CIS),Bachelors,"$58,100","$95,800",40%
15,265,Electromechanical Engineering,Bachelors,"$70,500","$95,800",55%
16,265,Industrial Technology (IT),Bachelors,"$62,200","$95,800",50%
17,265,Information Technology (IT) & Systems,Bachelors,"$61,100","$95,800",47%
18,269,Biopsychology,Bachelors,"$53,300","$95,700",74%
19,269,Government & Politics,Bachelors,"$52,400","$95,700",51%
20,271,Microbiology & Immunology,Bachelors,"$54,900","$95,400",68%
21,271,Chemistry & Environmental Science,Bachelors,"$48,200","$95,400",-
22,273,Interactive Media Design,Bachelors,"$54,000","$95,300",38%
23,273,Risk Management,Bachelors,"$58,500","$95,300",42%
24,275,Cell Biology,Bachelors,"$50,100","$95,200",59%
0,276,Aeronautics,Bachelors,"$62,800","$95,100",64%
1,277,Welding Engineering Technology,Bachelors,"$74,700","$95,000",42%
2,278,Finance & Management Information Systems,Bachelors,"$63,900","$94,800",-
3,279,Computer Science (CS) & Business,Bachelors,"$81,100","$94,600",28%
4,280,Environmental Science & Policy,Bachelors,"$49,500","$94,500",59%
5,280,Marketing & Communications,Bachelors,"$49,600","$94,500",45%
6,280,Safety Management,Bachelors,"$60,100","$94,500",70%
7,283,Business Technology Management,Bachelors,"$57,400","$94,400",42%
8,283,Computer Networking Systems,Bachelors,"$55,600","$94,400",49%
9,285,Biomedical Sciences,Bachelors,"$43,600","$94,300",70%
10,285,Philosophy,Bachelors,"$52,600","$94,300",41%
11,285,Sales & Marketing,Bachelors,"$52,700","$94,300",48%
12,285,Manufacturing Engineering Technology,Bachelors,"$66,000","$94,300",49%
13,289,Environmental Health & Safety,Bachelors,"$57,600","$94,200",68%
14,290,Organizational Psychology,Bachelors,"$51,200","$94,100",50%
15,291,Industrial Psychology,Bachelors,"$50,000","$94,000",50%
16,291,Political Science,Bachelors,"$50,700","$94,000",47%
17,291,Real Estate Development,Bachelors,"$57,100","$94,000",-
18,294,Social Ecology,Bachelors,"$49,000","$93,700",-
19,295,Risk Management & Insurance,Bachelors,"$59,500","$93,600",46%
20,296,Radiation Therapy,Bachelors,"$68,400","$93,400",90%
21,297,French Literature,Bachelors,"$46,400","$93,300",50%
22,297,Occupational Therapy (OT),Bachelors,"$54,100","$93,300",88%
23,299,Advertising,Bachelors,"$47,200","$93,200",32%
24,300,Accounting,Bachelors,"$54,800","$93,100",42%
0,301,Geology,Bachelors,"$50,400","$93,000",54%
1,301,Strategic Communication,Bachelors,"$47,100","$93,000",42%
2,301,Transportation & Logistics Management,Bachelors,"$57,600","$93,000",48%
3,304,Financial Accounting,Bachelors,"$56,100","$92,900",51%
4,305,Cell & Molecular Biology,Bachelors,"$51,900","$92,800",68%
5,305,Industrial Safety,Bachelors,"$55,200","$92,800",78%
6,305,Insurance,Bachelors,"$56,000","$92,800",43%
7,305,Manufacturing Management,Bachelors,"$64,000","$92,800",49%
8,305,Networks & Telecommunications,Bachelors,"$54,300","$92,800",56%
9,310,Labor Studies,Bachelors,"$46,600","$92,600",49%
10,310,Digital Media Design,Bachelors,"$46,700","$92,600",31%
11,310,Advertising & Marketing Communications,Bachelors,"$48,300","$92,600",36%
12,313,Cinema Studies,Bachelors,"$47,900","$92,500",33%
13,313,Electronic & Computer Technology,Bachelors,"$63,800","$92,500",58%
14,313,Marketing Communication,Bachelors,"$45,700","$92,500",39%
15,316,Construction Technology,Bachelors,"$59,100","$92,400",-
16,317,Architecture,Bachelors,"$51,000","$92,300",53%
17,318,Applied Statistics,Bachelors,"$65,900","$92,200",47%
18,319,Biological Sciences,Bachelors,"$49,300","$92,100",66%
19,319,Food Science,Bachelors,"$52,500","$92,100",51%
20,319,Urban & Regional Planning,Bachelors,"$51,800","$92,100",60%
21,322,Marketing Management,Bachelors,"$51,300","$92,000",42%
22,323,Computer & Network Administration,Bachelors,"$56,800","$91,900",47%
23,324,Applied Computer Science,Bachelors,"$66,100","$91,800",44%
