Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1976-06-25,4146,Silent Movie,4400000,36145695,36145695,31745695,1970
1976-06-25,4443,The Omen,2800000,48570885,48570885,45770885,1970
1976-08-02,4844,Taxi Driver,1000000,28316211,28262574,27316211,1970
1976-09-04,4353,Family Plot,3000000,13200000,13200000,10200000,1970
1976-11-03,4025,Robin and Marian,5000000,8000000,8000000,3000000,1970
1976-11-16,4661,Carrie,1800000,25878153,25878153,24078153,1970
1976-11-21,4840,Rocky,1000000,225000000,117235147,224000000,1970
1976-12-17,2202,King Kong,23000000,90614445,52614445,67614445,1970
1977-01-01,5051,Kingdom of the Spiders,500000,17000000,17000000,16500000,1970
1977-01-01,5297,Eraserhead,100000,7012524,7000000,6912524,1970
1977-03-11,3326,Pete’s Dragon,10000000,36000000,36000000,26000000,1970
1977-04-20,4165,Annie Hall,4000000,38251425,38251425,34251425,1970
1977-05-08,3765,March or Die,7000000,1000000,1000000,-6000000,1970
1977-05-25,3239,Star Wars Ep. IV: A New Hope,11000000,786598007,460998007,775598007,1970
1977-06-15,1978,A Bridge Too Far,26000000,50800000,50800000,24800000,1970
1977-06-17,2980,Exorcist II: The Heretic,14000000,25011000,25011000,11011000,1970
1977-06-22,2989,"New York, New York",14000000,13800000,13800000,-200000,1970
1977-06-24,2278,Sorcerer,21600000,12000000,12000000,-9600000,1970
1977-07-13,2969,The Spy Who Loved Me,14000000,185400000,46800000,171400000,1970
1977-10-08,5028,The Kentucky Fried Movie,600000,20000000,15000000,19400000,1970
1977-10-21,2713,Damnation Alley,17000000,0,0,-17000000,1970
1977-11-16,2309,Close Encounters of the Third Kind,20000000,337700000,166000000,317700000,1970
1977-12-23,4304,High Anxiety,3400000,31063038,31063038,27663038,1970
1978-01-01,3009,Caravans,14000000,1000000,1000000,-13000000,1970
1978-01-01,3165,The Boys from Brazil,12000000,19000000,19000000,7000000,1970
1978-01-01,4338,Coming Home,3000000,32653000,32653000,29653000,1970
1978-04-13,3260,F.I.S.T,11000000,20388920,20388920,9388920,1970
1978-06-16,2318,Jaws 2,20000000,208900376,102922376,188900376,1970
1978-06-16,3828,Grease,6000000,387513770,181813770,381513770,1970
1978-06-28,2798,Heaven Can Wait,15000000,98800000,98800000,83800000,1970
1978-07-28,4330,National Lampoon's Animal House,3000000,141600000,141600000,138600000,1970
1978-09-13,4382,Days of Heaven,3000000,3660880,3446749,660880,1970
1978-10-17,5153,Halloween,325000,70000000,47000000,69675000,1970
1978-10-24,2186,The Wiz,24000000,13000000,13000000,-11000000,1970
1978-12-15,912,Superman,55000000,300200000,134218018,245200000,1970
1978-12-22,4026,Force 10 from Navarone,5000000,7100000,7100000,2100000,1970
1979-01-01,2814,The Deer Hunter,15000000,50000000,50000000,35000000,1970
1979-02-02,3885,The First Great Train Robbery,6000000,391942,391942,-5608058,1970
1979-04-20,4717,Dawn of the Dead,1500000,55000000,5100000,53500000,1970
1979-05-25,3106,The Prisoner of Zenda,12500000,7000000,7000000,-5500000,1970
1979-05-25,3510,Alien,9000000,203630630,80930630,194630630,1970
1979-06-15,3160,Prophecy,12000000,22673340,22673340,10673340,1970
